届出番号2017,候補者名2017,新聞表記_姓,新聞表記_名,党派2017,現元新2017,得票数2017,当落2017,会派210827,連合推薦2021,関係政党210827,備考
12,すがぬま 利紀,菅沼,利紀,自由民主党,現,"2,622",1,自民誠心会,0,自由民主党,
2,かとう 貞一郎,加藤,貞一郎,無所属,現,"1,119",1,自民誠心会,0,自由民主党,自民系会派所属
1,小林 よしのり,小林,義典,無所属,新,992,1,自民誠心会,0,自由民主党,自民系会派所属
11,上野 けんすけ,上野,顕介,無所属,現,"1,171",1,令和会,0,自由民主党,自民党県連サイトに記述あり。自民党県連の組織副委員長。
19,藤川 みゆき,藤川,みゆき,無所属,現,"1,596",1,令和会,0,,
14,大島 正秀,大島,正秀,無所属,新,994,1,令和会,0,,
15,森 すなお,森,淳,無所属,現,897,1,令和会,0,,
20,赤祖父 ゆみ,赤祖父,裕美,無所属,現,"1,786",1,無所属の会　市民の力,1,,
3,松原 栄樹,松原,栄樹,無所属,現,"1,079",1,無所属の会　市民の力,0,,
5,植中 みやこ,植中,都,無所属,現,"1,051",1,無所属の会　市民の力,0,,
21,奥村 みきお,奥村,幹郎,無所属,新,866,1,みらいの風,1,立憲民主党,立憲民主党サイトに掲載されている。国民民主党からの推薦あり。
17,堀田 しげき,堀田,繁樹,無所属,現,828,1,みらいの風,1,立憲民主党,立憲民主党サイトに掲載されている。国民民主党からの推薦あり。
7,望月 たかし,望月,卓,無所属,現,906,1,みらいの風,0,,
16,細川 ゆかり,細川,ゆかり,公明党,新,"1,550",1,湖南市公明党議員団,0,公明党,
10,くわはらだ 美知子,桑原田,美知子,公明党,現,"1,482",1,湖南市公明党議員団,0,公明党,
9,松井 けい子,松井,圭子,日本共産党,現,"1,475",1,日本共産党湖南市議員団,0,日本共産党,
6,立入 よしはる,立入,善治,日本共産党,現,958,1,日本共産党湖南市議員団,0,日本共産党,
.,.,中土,翔太,.,.,.,.,無会派,0,,
22,大角 みちお,大角,道雄,無所属,新,"1,018",1,.,.,,
13,松山 かつ子,松山,克子,無所属,現,818,0,.,.,,
18,あわづ ひろみ,粟津,寛三,無所属,現,532,0,.,.,,
8,小山 まさのり,小山,正則,無所属,新,474,0,.,.,,
4,田渕 潤次,田淵,潤治,無所属,新,204,0,.,.,,
